capacity_mAhg,voltage_V
97.80,3.9481
97.93,3.9503
98.07,3.9529
98.20,3.9505
98.33,3.9546
98.47,3.9544
98.60,3.9563
98.73,3.9547
98.87,3.9559
99.00,3.9547
99.13,3.9559
99.27,3.9591
99.40,3.9601
99.53,3.9588
99.67,3.9557
99.80,3.9590
99.93,3.9599
100.07,3.9617
100.20,3.9599
100.33,3.9572
100.47,3.9624
100.60,3.9581
100.73,3.9618
100.87,3.9636
101.00,3.9652
101.13,3.9608
101.27,3.9648
101.40,3.9671
101.53,3.9677
101.67,3.9653
101.80,3.9684
101.93,3.9650
102.07,3.9702
102.20,3.9717
102.33,3.9701
102.47,3.9702
102.60,3.9743
102.74,3.9751
102.87,3.9734
103.00,3.9728
103.14,3.9730
103.27,3.9738
103.40,3.9775
103.54,3.9766
103.67,3.9755
103.80,3.9765
103.94,3.9786
104.07,3.9755
104.20,3.9770
104.34,3.9762
104.47,3.9778
104.60,3.9806
104.74,3.9801
104.87,3.9791
105.00,3.9785
105.14,3.9781
105.27,3.9826
105.40,3.9825
105.54,3.9800
105.67,3.9836
105.80,3.9846
105.94,3.9844
106.07,3.9843
106.20,3.9852
106.34,3.9874
106.47,3.9864
106.60,3.9884
106.74,3.9893
106.87,3.9843
107.00,3.9890
107.14,3.9910
107.27,3.9882
107.40,3.9904
107.54,3.9869
107.67,3.9903
107.81,3.9893
107.94,3.9956
108.07,3.9962
108.21,3.9926
108.34,3.9947
108.47,3.9925
108.61,3.9970
108.74,3.9955
108.87,3.9960
109.01,3.9957
109.14,3.9985
109.27,3.9968
109.41,4.0007
109.54,3.9959
109.67,3.9988
109.81,4.0000
109.94,3.9995
110.07,4.0012
110.21,4.0001
110.34,4.0012
110.47,3.9994
110.61,4.0037
110.74,4.0013
110.87,4.0040
111.01,4.0026
111.14,4.0063
111.27,4.0045
111.41,4.0024
111.54,4.0060
111.67,4.0048
111.81,4.0059
111.94,4.0081
112.07,4.0098
112.21,4.0111
112.34,4.0077
112.47,4.0059
112.61,4.0094
112.74,4.0130
112.88,4.0111
113.01,4.0109
113.14,4.0122
113.28,4.0117
113.41,4.0150
113.54,4.0158
113.68,4.0128
113.81,4.0153
113.94,4.0153
114.08,4.0142
114.21,4.0180
114.34,4.0151
114.48,4.0168
114.61,4.0192
114.74,4.0167
114.88,4.0202
115.01,4.0165
115.14,4.0181
115.28,4.0224
115.41,4.0210
115.54,4.0252
115.68,4.0212
115.81,4.0222
115.94,4.0205
116.08,4.0234
116.21,4.0226
116.34,4.0294
116.48,4.0261
116.61,4.0274
116.74,4.0264
116.88,4.0273
117.01,4.0264
117.14,4.0287
117.28,4.0240
117.41,4.0301
117.55,4.0283
117.68,4.0314
117.81,4.0297
117.95,4.0326
118.08,4.0318
118.21,4.0329
118.35,4.0322
118.48,4.0328
118.61,4.0329
118.75,4.0299
118.88,4.0306
119.01,4.0376
119.15,4.0380
119.28,4.0385
119.41,4.0362
119.55,4.0371
119.68,4.0423
119.81,4.0361
119.95,4.0415
120.08,4.0396
120.21,4.0444
120.35,4.0385
120.48,4.0435
120.61,4.0407
120.75,4.0424
120.88,4.0411
121.01,4.0398
121.15,4.0414
121.28,4.0399
121.41,4.0427
121.55,4.0429
121.68,4.0408
121.81,4.0429
121.95,4.0433
122.08,4.0420
122.21,4.0413
122.35,4.0419
122.48,4.0434
122.62,4.0450
122.75,4.0428
122.88,4.0444
123.02,4.0445
123.15,4.0458
123.28,4.0424
123.42,4.0440
123.55,4.0449
123.68,4.0421
123.82,4.0414
123.95,4.0452
124.08,4.0428
124.22,4.0434
124.35,4.0467
124.48,4.0461
124.62,4.0487
124.75,4.0440
124.88,4.0442
125.02,4.0485
125.15,4.0462
125.28,4.0437
125.42,4.0462
125.55,4.0428
125.68,4.0468
125.82,4.0415
125.95,4.0454
126.08,4.0518
126.22,4.0425
126.35,4.0450
126.48,4.0468
126.62,4.0459
126.75,4.0501
126.88,4.0517
127.02,4.0475
127.15,4.0460
127.28,4.0470
127.42,4.0444
127.55,4.0487
127.69,4.0472
127.82,4.0498
127.95,4.0467
128.09,4.0482
128.22,4.0503
128.35,4.0482
128.49,4.0488
128.62,4.0475
128.75,4.0498
128.89,4.0475
129.02,4.0494
129.15,4.0493
129.29,4.0504
129.42,4.0486
129.55,4.0506
129.69,4.0465
129.82,4.0484
129.95,4.0498
130.09,4.0526
130.22,4.0455
130.35,4.0504
130.49,4.0531
130.62,4.0515
130.75,4.0506
130.89,4.0494
131.02,4.0511
131.15,4.0501
131.29,4.0476
131.42,4.0532
131.55,4.0508
131.69,4.0525
131.82,4.0506
131.95,4.0538
132.09,4.0540
132.22,4.0531
132.35,4.0513
132.49,4.0522
132.62,4.0522
132.76,4.0511
132.89,4.0533
133.02,4.0523
133.16,4.0552
133.29,4.0536
133.42,4.0524
133.56,4.0560
133.69,4.0529
133.82,4.0524
133.96,4.0513
134.09,4.0522
134.22,4.0541
134.36,4.0535
134.49,4.0544
134.62,4.0553
134.76,4.0569
134.89,4.0527
135.02,4.0531
135.16,4.0528
135.29,4.0550
135.42,4.0586
135.56,4.0551
135.69,4.0568
135.82,4.0574
135.96,4.0572
136.09,4.0595
136.22,4.0553
136.36,4.0542
136.49,4.0586
136.62,4.0574
136.76,4.0589
136.89,4.0581
137.02,4.0573
137.16,4.0586
137.29,4.0565
137.42,4.0552
137.56,4.0599
137.69,4.0550
137.83,4.0584
137.96,4.0580
138.09,4.0583
138.23,4.0582
138.36,4.0580
138.49,4.0602
138.63,4.0541
138.76,4.0562
138.89,4.0575
139.03,4.0606
139.16,4.0607
139.29,4.0565
139.43,4.0553
139.56,4.0647
139.69,4.0634
139.83,4.0603
139.96,4.0614
140.09,4.0583
140.23,4.0612
140.36,4.0618
140.49,4.0595
140.63,4.0646
140.76,4.0618
140.89,4.0648
141.03,4.0683
141.16,4.0645
141.29,4.0677
141.43,4.0676
141.56,4.0676
141.69,4.0660
141.83,4.0685
141.96,4.0692
142.09,4.0699
142.23,4.0730
142.36,4.0713
142.49,4.0773
142.63,4.0745
142.76,4.0755
142.90,4.0748
143.03,4.0752
143.16,4.0816
143.30,4.0743
143.43,4.0754
143.56,4.0795
143.70,4.0794
143.83,4.0790
143.96,4.0817
144.10,4.0807
144.23,4.0837
144.36,4.0816
144.50,4.0831
144.63,4.0816
144.76,4.0850
144.90,4.0848
145.03,4.0875
145.16,4.0873
145.30,4.0844
145.43,4.0864
145.56,4.0899
145.70,4.0874
145.83,4.0907
145.96,4.0896
146.10,4.0911
146.23,4.0926
146.36,4.0937
146.50,4.0936
146.63,4.0918
146.76,4.0929
146.90,4.0949
147.03,4.0968
147.16,4.0985
147.30,4.0973
147.43,4.0986
147.57,4.0973
147.70,4.1010
147.83,4.1015
147.97,4.1009
148.10,4.0982
148.23,4.1020
148.37,4.1029
148.50,4.1052
148.63,4.1036
148.77,4.1031
148.90,4.1006
149.03,4.1067
149.17,4.1061
149.30,4.1067
149.43,4.1077
149.57,4.1100
149.70,4.1104
149.83,4.1076
149.97,4.1106
150.10,4.1120
150.23,4.1113
150.37,4.1112
150.50,4.1110
150.63,4.1135
150.77,4.1176
150.90,4.1159
151.03,4.1145
151.17,4.1176
151.30,4.1153
151.43,4.1163
151.57,4.1191
151.70,4.1192
151.83,4.1197
151.97,4.1161
152.10,4.1196
152.23,4.1237
152.37,4.1185
152.50,4.1194
152.64,4.1219
152.77,4.1237
152.90,4.1248
153.04,4.1254
153.17,4.1245
153.30,4.1262
153.44,4.1279
153.57,4.1286
153.70,4.1281
153.84,4.1315
153.97,4.1339
154.10,4.1332
154.24,4.1330
154.37,4.1314
154.50,4.1316
154.64,4.1327
154.77,4.1339
154.90,4.1385
155.04,4.1368
155.17,4.1344
155.30,4.1379
155.44,4.1384
155.57,4.1391
155.70,4.1384
155.84,4.1412
155.97,4.1426
156.10,4.1408
156.24,4.1409
156.37,4.1416
156.50,4.1413
156.64,4.1429
156.77,4.1392
156.90,4.1438
157.04,4.1460
157.17,4.1473
157.30,4.1460
157.44,4.1455
157.57,4.1506
157.71,4.1484
157.84,4.1500
157.97,4.1460
158.11,4.1534
158.24,4.1512
158.37,4.1506
158.51,4.1486
158.64,4.1526
158.77,4.1570
158.91,4.1544
159.04,4.1543
159.17,4.1593
159.31,4.1553
159.44,4.1583
159.57,4.1585
159.71,4.1604
159.84,4.1622
159.97,4.1631
160.11,4.1557
160.24,4.1583
160.37,4.1598
160.51,4.1637
160.64,4.1634
160.77,4.1612
160.91,4.1621
161.04,4.1651
161.17,4.1686
161.31,4.1695
161.44,4.1694
161.57,4.1643
161.71,4.1714
161.84,4.1660
161.97,4.1739
162.11,4.1701
162.24,4.1712
162.37,4.1735
162.51,4.1699
162.64,4.1741
162.78,4.1727
162.91,4.1741
163.04,4.1764
163.18,4.1746
163.31,4.1787
163.44,4.1797
163.58,4.1793
163.71,4.1768
163.84,4.1787
163.98,4.1813
164.11,4.1804
164.24,4.1831
164.38,4.1770
164.51,4.1844
164.64,4.1841
164.78,4.1820
164.91,4.1834
165.04,4.1863
165.18,4.1833
165.31,4.1868
165.44,4.1885
165.58,4.1893
165.71,4.1916
165.84,4.1875
165.98,4.1903
166.11,4.1907
166.24,4.1912
166.38,4.1909
166.51,4.1974
166.64,4.1920
166.78,4.1930
166.91,4.1920
167.04,4.1952
167.18,4.1923
167.31,4.1976
167.44,4.1957
167.58,4.2003
167.71,4.1979
167.85,4.1978
167.98,4.1980
168.11,4.1999
168.25,4.1987
168.38,4.2021
168.51,4.2020
168.65,4.2025
168.78,4.2036
168.91,4.2037
169.05,4.2072
169.18,4.2049
169.31,4.2085
169.45,4.2069
169.58,4.2073
169.71,4.2040
169.85,4.2074
169.98,4.2049
170.11,4.2095
170.25,4.2115
170.38,4.2129
170.51,4.2078
170.65,4.2132
170.78,4.2067
170.91,4.2132
171.05,4.2073
171.18,4.2117
171.31,4.2123
171.45,4.2108
171.58,4.2116
171.71,4.2121
171.85,4.2160
171.98,4.2135
172.11,4.2131
172.25,4.2130
172.38,4.2126
172.52,4.2107
172.65,4.2112
172.78,4.2118
172.92,4.2139
173.05,4.2062
173.18,4.2163
173.32,4.2120
173.45,4.2143
173.58,4.2132
173.72,4.2113
173.85,4.2115
173.98,4.2125
174.12,4.2166
174.25,4.2126
174.38,4.2147
174.52,4.2185
174.65,4.2171
174.78,4.2128
174.92,4.2168
175.05,4.2121
175.18,4.2153
175.32,4.2112
175.45,4.2153
175.58,4.2178
175.72,4.2119
175.85,4.2178
175.98,4.2144
176.12,4.2162
176.25,4.2166
176.38,4.2156
176.52,4.2168
176.65,4.2164
176.78,4.2198
176.92,4.2163
177.05,4.2163
177.18,4.2183
177.32,4.2191
177.45,4.2180
177.59,4.2150
177.72,4.2175
177.85,4.2201
177.99,4.2211
178.12,4.2163
178.25,4.2192
178.39,4.2209
178.52,4.2191
178.65,4.2192
178.79,4.2235
178.92,4.2207
179.05,4.2196
179.19,4.2176
179.32,4.2125
179.45,4.2215
179.59,4.2216
179.72,4.2204
179.85,4.2190
179.99,4.2217
180.12,4.2226
180.25,4.2206
180.39,4.2239
180.52,4.2206
180.65,4.2213
180.79,4.2194
180.92,4.2232
181.05,4.2181
181.19,4.2223
181.32,4.2201
181.45,4.2215
181.59,4.2266
181.72,4.2207
181.85,4.2252
181.99,4.2235
182.12,4.2226
182.25,4.2171
182.39,4.2246
182.52,4.2208
182.66,4.2189
182.79,4.2241
182.92,4.2212
183.06,4.2256
183.19,4.2241
183.32,4.2236
183.46,4.2256
183.59,4.2251
183.72,4.2271
183.86,4.2229
183.99,4.2254
184.12,4.2198
184.26,4.2273
184.39,4.2231
184.52,4.2275
184.66,4.2242
184.79,4.2233
184.92,4.2265
185.06,4.2238
185.19,4.2286
185.32,4.2310
185.46,4.2265
185.59,4.2271
185.72,4.2344
185.86,4.2326
185.99,4.2345
186.12,4.2360
186.26,4.2386
186.39,4.2380
186.52,4.2451
186.66,4.2387
186.79,4.2406
186.92,4.2432
187.06,4.2457
187.19,4.2477
187.32,4.2487
187.46,4.2508
187.59,4.2530
187.73,4.2574
187.86,4.2550
187.99,4.2541
188.13,4.2541
188.26,4.2581
188.39,4.2623
188.53,4.2606
188.66,4.2625
188.79,4.2613
188.93,4.2623
189.06,4.2659
189.19,4.2651
189.33,4.2712
189.46,4.2684
189.59,4.2691
189.73,4.2726
189.86,4.2740
189.99,4.2732
190.13,4.2760
190.26,4.2783
190.39,4.2800
190.53,4.2817
190.66,4.2779
190.79,4.2870
190.93,4.2834
191.06,4.2860
191.19,4.2857
191.33,4.2870
191.46,4.2892
191.59,4.2883
191.73,4.2910
191.86,4.2917
191.99,4.2927
192.13,4.2975
192.26,4.3010
192.39,4.2984
192.53,4.3019
192.66,4.3023
192.80,4.3003
192.93,4.3015
193.06,4.3041
193.20,4.3051
193.33,4.3070
193.46,4.3071
193.60,4.3106
193.73,4.3117
193.86,4.3113
194.00,4.3128
194.13,4.3127
194.26,4.3192
194.40,4.3199
194.53,4.3176
194.66,4.3231
194.80,4.3241
194.93,4.3230
195.06,4.3223
195.20,4.3259
195.33,4.3301
195.46,4.3310
195.60,4.3305
195.73,4.3361
195.86,4.3329
196.00,4.3366
196.13,4.3373
196.26,4.3401
196.40,4.3404
196.53,4.3390
196.66,4.3404
196.80,4.3451
196.93,4.3435
197.06,4.3447
197.20,4.3455
197.33,4.3507
197.46,4.3467
197.60,4.3487
197.73,4.3531
197.87,4.3543
198.00,4.3539
198.13,4.3545
198.27,4.3558
198.40,4.3542
198.53,4.3611
198.67,4.3632
198.80,4.3609
198.93,4.3632
199.07,4.3651
199.20,4.3679
199.33,4.3687
199.47,4.3717
199.60,4.3752
199.73,4.3733
199.87,4.3714
200.00,4.3724
