temperature_C,heat_flow_mW
40.68,0.1234
40.82,0.0953
40.96,0.1295
41.10,0.1272
41.23,0.1136
41.37,0.1297
41.51,0.1398
41.65,0.0963
41.78,0.1462
41.92,0.1372
42.06,0.1372
42.20,0.1371
42.33,0.1316
42.47,0.1175
42.61,0.1029
42.75,0.1280
42.88,0.1205
43.02,0.1041
43.16,0.1534
43.30,0.1351
43.43,0.1122
43.57,0.0871
43.71,0.1019
43.85,0.1286
43.98,0.1138
44.12,0.0928
44.26,0.1246
44.40,0.1162
44.53,0.1115
44.67,0.0948
44.81,0.1265
44.95,0.0985
45.09,0.1158
45.22,0.1434
45.36,0.1452
45.50,0.1179
45.64,0.0590
45.77,0.1359
45.91,0.1023
46.05,0.0932
46.19,0.1360
46.32,0.0843
46.46,0.1357
46.60,0.1397
46.74,0.1318
46.87,0.1261
47.01,0.1198
47.15,0.1125
47.29,0.1006
47.42,0.1698
47.56,0.1137
47.70,0.1042
47.84,0.1210
47.97,0.1345
48.11,0.1435
48.25,0.1187
48.39,0.1196
48.52,0.1075
48.66,0.1185
48.80,0.1411
48.94,0.1227
49.07,0.1167
49.21,0.1276
49.35,0.1087
49.49,0.0813
49.62,0.1149
49.76,0.0650
49.90,0.1196
50.04,0.1333
50.18,0.1450
50.31,0.1359
50.45,0.1262
50.59,0.1051
50.73,0.1038
50.86,0.1217
51.00,0.1088
51.14,0.1070
51.28,0.1273
51.41,0.1095
51.55,0.0904
51.69,0.1226
51.83,0.1081
51.96,0.1377
52.10,0.1534
52.24,0.1430
52.38,0.1368
52.51,0.1556
52.65,0.1090
52.79,0.1175
52.93,0.1331
53.06,0.1220
53.20,0.1333
53.34,0.1235
53.48,0.1266
53.61,0.1241
53.75,0.1486
53.89,0.1312
54.03,0.1102
54.16,0.1357
54.30,0.1280
54.44,0.1715
54.58,0.1527
54.71,0.1742
54.85,0.1548
54.99,0.1754
55.13,0.1773
55.27,0.1788
55.40,0.1391
55.54,0.1847
55.68,0.2151
55.82,0.1958
55.95,0.2267
56.09,0.2016
56.23,0.2128
56.37,0.2402
56.50,0.2053
56.64,0.2736
56.78,0.2407
56.92,0.2779
57.05,0.2445
57.19,0.2757
57.33,0.2560
57.47,0.2367
57.60,0.2617
57.74,0.2702
57.88,0.2840
58.02,0.2603
58.15,0.2878
58.29,0.2734
58.43,0.2400
58.57,0.3001
58.70,0.3027
58.84,0.2746
58.98,0.2785
59.12,0.2723
59.25,0.2907
59.39,0.2717
59.53,0.3004
59.67,0.2812
59.80,0.2583
59.94,0.2983
60.08,0.2942
60.22,0.2480
60.36,0.2889
60.49,0.2965
60.63,0.2836
60.77,0.2761
60.91,0.3104
61.04,0.2727
61.18,0.3210
61.32,0.2718
61.46,0.3052
61.59,0.3227
61.73,0.2611
61.87,0.2964
62.01,0.1226
62.14,0.1532
62.28,0.1660
62.42,0.1729
62.56,0.1581
62.69,0.1311
62.83,0.1523
62.97,0.1906
63.11,0.1633
63.24,0.1829
63.38,0.1617
63.52,0.1150
63.66,0.1336
63.79,0.1534
63.93,0.1206
64.07,0.1534
64.21,0.1012
64.34,0.1384
64.48,0.1518
64.62,0.1030
64.76,0.1514
64.89,0.1586
65.03,0.1594
65.17,0.1081
65.31,0.1126
65.45,0.1642
65.58,0.1643
65.72,0.1206
65.86,0.1153
66.00,0.1614
66.13,0.1031
66.27,0.1556
66.41,0.1095
66.55,0.1139
66.68,0.1445
66.82,0.1561
66.96,0.1567
67.10,0.1458
67.23,0.1256
67.37,0.1269
67.51,0.1478
67.65,0.1569
67.78,0.1254
67.92,0.1295
68.06,0.1313
68.20,0.1445
68.33,0.1247
68.47,0.1433
68.61,0.1479
68.75,0.1541
68.88,0.1531
69.02,0.1191
69.16,0.1455
69.30,0.1533
69.43,0.1308
69.57,0.1368
69.71,0.1727
69.85,0.1055
69.98,0.1884
70.12,0.1696
70.26,0.1393
70.40,0.1780
70.54,0.1264
70.67,0.1563
70.81,0.1181
70.95,0.1776
71.09,0.1334
71.22,0.1637
71.36,0.1508
71.50,0.1393
71.64,0.1360
71.77,0.1977
71.91,0.1337
72.05,0.1580
72.19,0.1611
72.32,0.1707
72.46,0.1699
72.60,0.1259
72.74,0.1479
72.87,0.1617
73.01,0.1546
73.15,0.1348
73.29,0.1394
73.42,0.1477
73.56,0.1263
73.70,0.1483
73.84,0.1610
73.97,0.1602
74.11,0.1597
74.25,0.1317
74.39,0.1171
74.52,0.1567
74.66,0.1356
74.80,0.1579
74.94,0.1818
75.08,0.1542
75.21,0.1460
75.35,0.1358
75.49,0.1318
75.63,0.1766
75.76,0.1022
75.90,0.1473
76.04,0.1751
76.18,0.1311
76.31,0.1501
76.45,0.1461
76.59,0.1632
76.73,0.1808
76.86,0.1433
77.00,0.1320
77.14,0.1393
77.28,0.1915
77.41,0.1920
77.55,0.1611
77.69,0.1651
77.83,0.1403
77.96,0.1733
78.10,0.1482
78.24,0.1364
78.38,0.1585
78.51,0.1476
78.65,0.1580
78.79,0.1533
78.93,0.1610
79.06,0.1567
79.20,0.1918
79.34,0.1694
79.48,0.1479
79.61,0.1653
79.75,0.1432
79.89,0.1549
80.03,0.1639
80.17,0.1702
80.30,0.2015
80.44,0.1798
80.58,0.2218
80.72,0.2244
80.85,0.2480
80.99,0.2789
81.13,0.3050
81.27,0.3163
81.40,0.3173
81.54,0.3776
81.68,0.4282
81.82,0.4435
81.95,0.4422
82.09,0.5023
82.23,0.5865
82.37,0.6312
82.50,0.7458
82.64,0.7583
82.78,0.8366
82.92,0.9307
83.05,0.9552
83.19,1.1087
83.33,1.1783
83.47,1.2511
83.60,1.3704
83.74,1.5038
83.88,1.5896
84.02,1.6335
84.15,1.8015
84.29,1.8893
84.43,2.0006
84.57,2.0682
84.70,2.2068
84.84,2.2940
84.98,2.3580
85.12,2.4285
85.26,2.5154
85.39,2.5576
85.53,2.5874
85.67,2.6229
85.81,2.6585
85.94,2.6968
86.08,2.6498
86.22,2.6378
86.36,2.6383
86.49,2.5762
86.63,2.5219
86.77,2.4630
86.91,2.4473
87.04,2.3269
87.18,2.2576
87.32,2.1443
87.46,2.0788
87.59,1.9745
87.73,1.8781
87.87,1.7700
88.01,1.6752
88.14,1.5668
88.28,1.4634
88.42,1.3524
88.56,1.2543
88.69,1.1897
88.83,1.0788
88.97,1.0182
89.11,0.9036
89.24,0.8236
89.38,0.7840
89.52,0.6931
89.66,0.6285
89.79,0.5711
89.93,0.5547
90.07,0.4815
90.21,0.4517
90.35,0.4234
90.48,0.3770
90.62,0.3180
90.76,0.3210
90.90,0.3170
91.03,0.2890
91.17,0.2594
91.31,0.2301
91.45,0.2463
91.58,0.1807
91.72,0.2304
91.86,0.2268
92.00,0.1777
92.13,0.1693
92.27,0.1318
92.41,0.1664
92.55,0.1557
92.68,0.1415
92.82,0.1732
92.96,0.2009
93.10,0.1873
93.23,0.1602
93.37,0.1978
93.51,0.1872
93.65,0.2097
93.78,0.1635
93.92,0.1884
94.06,0.2075
94.20,0.1315
94.33,0.1847
94.47,0.1480
94.61,0.1573
94.75,0.1715
94.88,0.1768
95.02,0.2048
95.16,0.1743
95.30,0.1706
95.44,0.1578
95.57,0.1495
95.71,0.1478
95.85,0.1882
95.99,0.1539
96.12,0.2038
96.26,0.1843
96.40,0.1973
96.54,0.1683
96.67,0.2021
96.81,0.1652
96.95,0.1722
97.09,0.1432
97.22,0.1449
97.36,0.1598
97.50,0.1813
97.64,0.1803
97.77,0.1882
97.91,0.1784
98.05,0.1407
98.19,0.1626
98.32,0.1645
98.46,0.1829
98.60,0.1900
98.74,0.1592
98.87,0.1442
99.01,0.1832
99.15,0.2017
99.29,0.2021
99.42,0.1677
99.56,0.1708
99.70,0.1625
99.84,0.1998
99.97,0.1719
100.11,0.1892
100.25,0.1760
100.39,0.1939
100.53,0.2090
100.66,0.1725
100.80,0.1810
100.94,0.1755
101.08,0.1729
101.21,0.1624
101.35,0.1514
101.49,0.1266
101.63,0.1767
101.76,0.1739
101.90,0.1928
102.04,0.1710
102.18,0.1419
102.31,0.1907
102.45,0.2245
102.59,0.1692
102.73,0.1937
102.86,0.2000
103.00,0.1564
103.14,0.1591
103.28,0.1889
103.41,0.1643
103.55,0.1505
103.69,0.1844
103.83,0.2241
103.96,0.1472
104.10,0.1613
104.24,0.1883
104.38,0.1665
104.51,0.1702
104.65,0.1741
104.79,0.1708
104.93,0.1742
105.07,0.1673
105.20,0.1957
105.34,0.1715
105.48,0.1663
105.62,0.1842
105.75,0.1944
105.89,0.1873
106.03,0.1906
106.17,0.2060
106.30,0.1400
106.44,0.1566
106.58,0.1619
106.72,0.1557
106.85,0.1838
106.99,0.1826
107.13,0.2051
107.27,0.1787
107.40,0.1581
107.54,0.2120
107.68,0.2074
107.82,0.1887
107.95,0.2203
108.09,0.2416
108.23,0.1719
108.37,0.1715
108.50,0.2012
108.64,0.1779
108.78,0.2013
108.92,0.2008
109.05,0.1740
109.19,0.2066
109.33,0.2013
109.47,0.1796
109.60,0.2085
109.74,0.2478
109.88,0.2014
110.02,0.1580
110.16,0.1803
110.29,0.1772
110.43,0.1707
110.57,0.1981
110.71,0.2254
110.84,0.1911
110.98,0.1668
111.12,0.1975
111.26,0.1629
111.39,0.2050
111.53,0.1919
111.67,0.1766
111.81,0.1718
111.94,0.1961
112.08,0.2113
112.22,0.2150
112.36,0.1909
112.49,0.1940
112.63,0.1842
112.77,0.1694
112.91,0.1719
113.04,0.2158
113.18,0.1743
113.32,0.2194
113.46,0.1769
113.59,0.1559
113.73,0.1772
113.87,0.1954
114.01,0.1857
114.14,0.1998
114.28,0.2330
114.42,0.1956
114.56,0.1894
114.69,0.1798
114.83,0.1854
114.97,0.2228
115.11,0.2135
115.25,0.2234
115.38,0.1955
115.52,0.1783
115.66,0.1922
115.80,0.1863
115.93,0.2198
116.07,0.2065
116.21,0.1543
116.35,0.1682
116.48,0.1861
116.62,0.2262
116.76,0.1784
116.90,0.1955
117.03,0.2003
117.17,0.2030
117.31,0.2047
117.45,0.1815
117.58,0.2122
117.72,0.1801
117.86,0.2114
118.00,0.1861
118.13,0.1842
118.27,0.1920
118.41,0.1770
118.55,0.2022
118.68,0.2348
118.82,0.1496
118.96,0.2013
119.10,0.1471
119.23,0.2025
119.37,0.1524
119.51,0.1808
119.65,0.1980
119.78,0.1676
119.92,0.1974
120.06,0.2080
120.20,0.2109
120.34,0.1689
120.47,0.2109
120.61,0.1850
120.75,0.2064
120.89,0.2180
121.02,0.1851
121.16,0.2053
121.30,0.1815
121.44,0.1736
121.57,0.2199
121.71,0.1690
121.85,0.2202
121.99,0.2171
122.12,0.1721
122.26,0.1874
122.40,0.1963
122.54,0.1717
122.67,0.1977
122.81,0.1863
122.95,0.1922
123.09,0.1716
123.22,0.1762
123.36,0.1934
123.50,0.2067
123.64,0.2146
123.77,0.1601
123.91,0.1918
124.05,0.2403
124.19,0.2044
124.32,0.1702
124.46,0.1851
124.60,0.2051
124.74,0.2176
124.87,0.2235
125.01,0.2371
125.15,0.2088
125.29,0.2157
125.43,0.2351
125.56,0.2420
125.70,0.2004
125.84,0.2059
125.98,0.2371
126.11,0.2072
126.25,0.1869
126.39,0.2123
126.53,0.1940
126.66,0.2218
126.80,0.1924
126.94,0.2432
127.08,0.2012
127.21,0.2027
127.35,0.2085
127.49,0.1740
127.63,0.2156
127.76,0.2250
127.90,0.1502
128.04,0.1994
128.18,0.2066
128.31,0.1998
128.45,0.2180
128.59,0.1964
128.73,0.2007
128.86,0.2039
129.00,0.2168
129.14,0.1852
129.28,0.2184
129.41,0.1869
129.55,0.2214
129.69,0.1986
129.83,0.1685
129.96,0.2118
130.10,0.1974
130.24,0.2210
130.38,0.2178
130.52,0.2270
130.65,0.2171
130.79,0.2257
130.93,0.2268
131.07,0.2283
131.20,0.1842
131.34,0.2215
131.48,0.2440
131.62,0.1964
131.75,0.2192
131.89,0.2391
132.03,0.2228
132.17,0.1937
132.30,0.2038
132.44,0.2356
132.58,0.1904
132.72,0.2261
132.85,0.2290
132.99,0.2197
133.13,0.2225
133.27,0.2137
133.40,0.2163
133.54,0.2123
133.68,0.2120
133.82,0.1799
133.95,0.2120
134.09,0.2259
134.23,0.2087
134.37,0.2008
134.50,0.2219
134.64,0.1841
134.78,0.1661
134.92,0.2138
135.06,0.1948
135.19,0.1828
135.33,0.2040
135.47,0.2052
135.61,0.2341
135.74,0.2138
135.88,0.2272
136.02,0.2279
136.16,0.2183
136.29,0.2207
136.43,0.2042
136.57,0.2072
136.71,0.2182
136.84,0.2172
136.98,0.2774
137.12,0.2275
137.26,0.2071
137.39,0.2001
137.53,0.1957
137.67,0.2566
137.81,0.2132
137.94,0.2531
138.08,0.2586
138.22,0.2322
138.36,0.2651
138.49,0.2860
138.63,0.2408
138.77,0.3022
138.91,0.3289
139.04,0.3192
139.18,0.3303
139.32,0.3536
139.46,0.3371
139.59,0.3989
139.73,0.4542
139.87,0.4528
140.01,0.5151
140.15,0.5747
140.28,0.5958
140.42,0.6631
140.56,0.6698
140.70,0.7379
140.83,0.8254
140.97,0.8340
141.11,0.9044
141.25,1.0379
141.38,1.0312
141.52,1.0755
141.66,1.0957
141.80,1.1664
141.93,1.2156
142.07,1.2437
142.21,1.2902
142.35,1.3499
142.48,1.3523
142.62,1.3969
142.76,1.3740
142.90,1.3890
143.03,1.4502
143.17,1.4308
143.31,1.4125
143.45,1.3949
143.58,1.3503
143.72,1.3440
143.86,1.2756
144.00,1.2647
144.13,1.1911
144.27,1.1682
144.41,1.1123
144.55,1.0572
144.68,0.9619
144.82,0.9224
144.96,0.9031
145.10,0.8239
145.24,0.7713
145.37,0.7159
145.51,0.6949
145.65,0.6311
145.79,0.5769
145.92,0.5289
146.06,0.5011
146.20,0.4624
146.34,0.4570
146.47,0.4109
146.61,0.3781
146.75,0.2846
146.89,0.3368
147.02,0.3259
147.16,0.2785
147.30,0.3147
147.44,0.2634
147.57,0.2468
147.71,0.2415
147.85,0.2382
147.99,0.2441
148.12,0.2346
148.26,0.2371
148.40,0.2270
148.54,0.2228
148.67,0.1870
148.81,0.2362
148.95,0.2361
149.09,0.2519
149.22,0.2073
149.36,0.2399
149.50,0.2277
149.64,0.2517
149.77,0.2423
149.91,0.2506
150.05,0.2289
150.19,0.2258
150.33,0.2379
150.46,0.2528
150.60,0.2258
150.74,0.2131
150.88,0.2339
151.01,0.2322
151.15,0.2046
151.29,0.2067
151.43,0.2181
151.56,0.2187
151.70,0.2364
151.84,0.2380
151.98,0.2114
152.11,0.2065
152.25,0.2021
152.39,0.2096
152.53,0.2298
152.66,0.2427
152.80,0.2315
152.94,0.2342
153.08,0.2025
153.21,0.2452
153.35,0.2347
153.49,0.2345
153.63,0.2271
153.76,0.2356
153.90,0.2291
154.04,0.2260
154.18,0.2548
154.31,0.2197
154.45,0.2337
154.59,0.2146
154.73,0.2401
154.86,0.2203
155.00,0.2372
155.14,0.2324
155.28,0.2130
155.42,0.2796
155.55,0.2215
155.69,0.2416
155.83,0.2433
155.97,0.2066
156.10,0.2371
156.24,0.2197
156.38,0.2152
156.52,0.2224
156.65,0.3050
156.79,0.2425
156.93,0.2183
157.07,0.2314
157.20,0.2493
157.34,0.2589
157.48,0.2408
157.62,0.2234
157.75,0.2446
157.89,0.2147
158.03,0.2118
158.17,0.2653
158.30,0.2128
158.44,0.2403
158.58,0.2747
158.72,0.2529
158.85,0.1974
158.99,0.2510
159.13,0.2117
159.27,0.2190
159.40,0.2538
159.54,0.2574
159.68,0.2541
159.82,0.2849
159.95,0.2636
160.09,0.2519
160.23,0.2362
160.37,0.2516
160.51,0.2790
160.64,0.2462
160.78,0.2328
160.92,0.2128
161.06,0.2323
161.19,0.2631
161.33,0.2624
161.47,0.2548
161.61,0.2235
161.74,0.2454
161.88,0.2269
162.02,0.2051
162.16,0.2479
162.29,0.2017
162.43,0.2331
162.57,0.2462
162.71,0.2326
162.84,0.2410
162.98,0.2601
163.12,0.2289
163.26,0.2221
163.39,0.2822
163.53,0.2157
163.67,0.2676
163.81,0.1870
163.94,0.2629
164.08,0.2320
164.22,0.2446
164.36,0.2287
164.49,0.2266
164.63,0.2420
164.77,0.2461
164.91,0.2217
165.05,0.2510
165.18,0.2449
165.32,0.2617
165.46,0.2211
165.60,0.2155
165.73,0.2632
165.87,0.2043
166.01,0.2674
166.15,0.2483
166.28,0.2365
166.42,0.2513
166.56,0.2638
166.70,0.2463
166.83,0.2670
166.97,0.2637
167.11,0.2595
167.25,0.2191
167.38,0.2102
167.52,0.2027
167.66,0.2201
167.80,0.2630
167.93,0.2674
168.07,0.2409
168.21,0.2492
168.35,0.2129
168.48,0.2461
168.62,0.2246
168.76,0.2440
168.90,0.2562
169.03,0.2142
169.17,0.2460
169.31,0.2691
169.45,0.2376
169.58,0.2191
169.72,0.2612
169.86,0.2574
170.00,0.2360
170.14,0.2274
170.27,0.2468
170.41,0.2916
170.55,0.2369
170.69,0.2338
170.82,0.2496
170.96,0.2394
171.10,0.2569
171.24,0.2135
171.37,0.2705
171.51,0.2526
171.65,0.2793
171.79,0.2553
171.92,0.2543
172.06,0.2357
172.20,0.2267
172.34,0.2539
172.47,0.2465
172.61,0.2382
172.75,0.2606
172.89,0.2221
173.02,0.2329
173.16,0.2364
173.30,0.2223
173.44,0.2334
173.57,0.2152
173.71,0.2488
173.85,0.2866
173.99,0.2556
174.12,0.2486
174.26,0.2422
174.40,0.2728
174.54,0.2494
174.67,0.2628
174.81,0.2361
174.95,0.2942
175.09,0.2506
175.23,0.2296
175.36,0.2707
175.50,0.2744
175.64,0.2670
175.78,0.2362
175.91,0.2305
176.05,0.2531
176.19,0.2257
176.33,0.2556
176.46,0.2405
176.60,0.2705
176.74,0.2393
176.88,0.2797
177.01,0.2485
177.15,0.1941
177.29,0.2360
177.43,0.2348
177.56,0.2547
177.70,0.2398
177.84,0.2898
177.98,0.2778
178.11,0.2286
178.25,0.2366
178.39,0.2687
178.53,0.2050
178.66,0.2828
178.80,0.2514
178.94,0.2702
179.08,0.2703
179.21,0.2755
179.35,0.2431
179.49,0.2692
179.63,0.2649
179.76,0.2352
179.90,0.2673
180.04,0.2043
180.18,0.3000
180.32,0.2616
180.45,0.2636
180.59,0.2598
180.73,0.2712
180.87,0.2926
181.00,0.2763
181.14,0.2798
181.28,0.2501
181.42,0.2993
181.55,0.2648
181.69,0.2449
181.83,0.2527
181.97,0.2100
182.10,0.2754
182.24,0.2793
182.38,0.2201
182.52,0.2887
182.65,0.2602
182.79,0.2735
182.93,0.2702
183.07,0.2660
183.20,0.2608
183.34,0.2274
183.48,0.2486
183.62,0.2869
183.75,0.2224
183.89,0.2722
184.03,0.2783
184.17,0.2327
184.30,0.2892
184.44,0.2796
184.58,0.2890
184.72,0.2749
184.85,0.2647
184.99,0.2519
185.13,0.3020
185.27,0.2784
185.41,0.2767
185.54,0.2687
185.68,0.2500
185.82,0.2399
185.96,0.2259
186.09,0.2467
186.23,0.2627
186.37,0.2801
186.51,0.2555
186.64,0.2545
186.78,0.2396
186.92,0.2758
187.06,0.2698
187.19,0.2390
187.33,0.2647
187.47,0.2725
187.61,0.2633
187.74,0.2587
187.88,0.2480
188.02,0.2698
188.16,0.2480
188.29,0.2746
188.43,0.2638
188.57,0.2524
188.71,0.2008
188.84,0.3176
188.98,0.2581
189.12,0.2408
189.26,0.2455
189.39,0.2510
189.53,0.2737
189.67,0.2836
189.81,0.2651
189.94,0.2832
190.08,0.2842
190.22,0.2686
190.36,0.2580
190.50,0.2529
190.63,0.2579
190.77,0.2721
190.91,0.2869
191.05,0.2977
191.18,0.2320
191.32,0.2700
191.46,0.2517
191.60,0.2833
191.73,0.2464
191.87,0.2870
192.01,0.2951
192.15,0.2158
192.28,0.2978
192.42,0.2650
192.56,0.2551
192.70,0.2627
192.83,0.2664
192.97,0.2743
193.11,0.2838
193.25,0.2704
193.38,0.2647
193.52,0.2554
193.66,0.2866
193.80,0.2596
193.93,0.2605
194.07,0.2649
194.21,0.2320
194.35,0.3107
194.48,0.2643
194.62,0.2674
194.76,0.2542
194.90,0.2620
195.04,0.2745
195.17,0.2412
195.31,0.2615
195.45,0.2521
195.59,0.2904
195.72,0.2975
195.86,0.2773
196.00,0.2651
196.14,0.2649
196.27,0.3185
196.41,0.2953
196.55,0.2963
196.69,0.2581
196.82,0.2718
196.96,0.2711
197.10,0.2423
197.24,0.2766
197.37,0.3078
197.51,0.2863
197.65,0.2691
197.79,0.2903
197.92,0.3098
198.06,0.2577
198.20,0.2728
198.34,0.2344
198.47,0.2604
198.61,0.2985
198.75,0.2963
198.89,0.3039
199.02,0.3005
199.16,0.2952
199.30,0.2629
199.44,0.2388
199.57,0.2824
199.71,0.2710
199.85,0.3093
199.99,0.2340
200.13,0.2805
200.26,0.2719
200.40,0.2646
200.54,0.2482
200.68,0.2951
200.81,0.2658
200.95,0.2738
201.09,0.2300
201.23,0.2997
201.36,0.2805
201.50,0.2850
201.64,0.2639
201.78,0.2784
201.91,0.2733
202.05,0.3201
202.19,0.3109
202.33,0.3063
202.46,0.2756
202.60,0.2773
202.74,0.2682
202.88,0.2743
203.01,0.2891
203.15,0.2716
203.29,0.2778
203.43,0.3096
203.56,0.2665
203.70,0.2625
203.84,0.2373
203.98,0.2962
204.11,0.3110
204.25,0.3105
204.39,0.2843
204.53,0.2680
204.66,0.3185
204.80,0.2766
204.94,0.2836
205.08,0.2593
205.22,0.2712
205.35,0.2891
205.49,0.2745
205.63,0.2607
205.77,0.2740
205.90,0.2868
206.04,0.3156
206.18,0.3423
206.32,0.3463
206.45,0.3737
206.59,0.3961
206.73,0.4153
206.87,0.4518
207.00,0.5185
207.14,0.5741
207.28,0.6374
207.42,0.7589
207.55,0.8935
207.69,0.9683
207.83,1.1490
207.97,1.3171
208.10,1.5093
208.24,1.7332
208.38,2.0437
208.52,2.3174
208.65,2.6048
208.79,3.0532
208.93,3.3456
209.07,3.7761
209.20,4.1701
209.34,4.6409
209.48,5.0770
209.62,5.5121
209.75,5.9664
209.89,6.3801
210.03,6.7782
210.17,7.1415
210.31,7.4746
210.44,7.7636
210.58,8.0345
210.72,8.1485
210.86,8.2460
210.99,8.3123
211.13,8.2715
211.27,8.1642
211.41,8.0000
211.54,7.7885
211.68,7.4961
211.82,7.1648
211.96,6.8092
212.09,6.4074
212.23,5.9792
212.37,5.5718
212.51,5.0985
212.64,4.6571
212.78,4.2270
212.92,3.8546
213.06,3.4157
213.19,3.0131
213.33,2.6741
213.47,2.3392
213.61,2.0601
213.74,1.7753
213.88,1.5530
214.02,1.3643
214.16,1.1998
214.29,1.0100
214.43,0.9048
214.57,0.7255
214.71,0.6860
214.84,0.5773
214.98,0.5364
215.12,0.4914
215.26,0.4166
215.40,0.4115
215.53,0.3712
215.67,0.3150
215.81,0.3288
215.95,0.3106
216.08,0.2815
216.22,0.3011
216.36,0.2972
216.50,0.2920
216.63,0.3169
216.77,0.3195
216.91,0.2916
217.05,0.3032
217.18,0.2980
217.32,0.3247
217.46,0.2937
217.60,0.2930
217.73,0.2869
217.87,0.3171
218.01,0.2711
218.15,0.2802
218.28,0.2737
218.42,0.3194
218.56,0.3312
218.70,0.3048
218.83,0.2839
218.97,0.3038
219.11,0.2688
219.25,0.3096
219.38,0.3394
219.52,0.3053
219.66,0.3013
219.80,0.2691
219.93,0.3199
220.07,0.3064
220.21,0.2997
220.35,0.2786
220.49,0.3013
220.62,0.2647
220.76,0.3202
220.90,0.2995
221.04,0.2919
221.17,0.2909
221.31,0.3033
221.45,0.2559
221.59,0.3052
221.72,0.2637
221.86,0.2993
222.00,0.3007
222.14,0.2793
222.27,0.2953
222.41,0.2789
222.55,0.3149
222.69,0.2920
222.82,0.2718
222.96,0.2817
223.10,0.2935
223.24,0.2992
223.37,0.2997
223.51,0.3171
223.65,0.3391
223.79,0.2996
223.92,0.2849
224.06,0.3325
224.20,0.3331
224.34,0.2829
224.47,0.3456
224.61,0.2941
224.75,0.3169
224.89,0.2606
225.03,0.2938
225.16,0.3234
225.30,0.2712
225.44,0.2865
225.58,0.3196
225.71,0.3042
225.85,0.2997
225.99,0.2926
226.13,0.2979
226.26,0.3351
226.40,0.2986
226.54,0.3088
226.68,0.3164
226.81,0.3255
226.95,0.2844
227.09,0.3017
227.23,0.2723
227.36,0.3181
227.50,0.2659
227.64,0.2623
227.78,0.2953
227.91,0.3053
228.05,0.2947
228.19,0.3057
228.33,0.3088
228.46,0.2697
228.60,0.3302
228.74,0.3141
228.88,0.3147
229.01,0.3237
229.15,0.3337
229.29,0.2761
229.43,0.3015
229.56,0.2985
229.70,0.2864
229.84,0.3334
229.98,0.3579
230.12,0.3179
230.25,0.2996
230.39,0.3080
230.53,0.3230
230.67,0.3088
230.80,0.2631
230.94,0.3175
231.08,0.3037
231.22,0.3289
231.35,0.3288
231.49,0.2928
231.63,0.3430
231.77,0.2827
231.90,0.3002
232.04,0.2688
232.18,0.2564
232.32,0.3087
232.45,0.3388
232.59,0.2762
232.73,0.3050
232.87,0.3251
233.00,0.2764
233.14,0.2827
233.28,0.3286
233.42,0.2978
233.55,0.2983
233.69,0.2882
233.83,0.3077
233.97,0.3101
234.10,0.2970
234.24,0.3396
234.38,0.3071
234.52,0.2938
234.65,0.3300
234.79,0.3116
234.93,0.3186
235.07,0.3027
235.21,0.3149
235.34,0.3257
235.48,0.2738
235.62,0.3082
235.76,0.2973
235.89,0.2719
236.03,0.3448
236.17,0.3080
236.31,0.3404
236.44,0.3014
236.58,0.3268
236.72,0.3060
236.86,0.3028
236.99,0.2754
237.13,0.3225
237.27,0.3210
237.41,0.3013
237.54,0.3123
237.68,0.3339
237.82,0.3123
237.96,0.3316
238.09,0.2689
238.23,0.3119
238.37,0.3128
